TID,BOOK_NAME,CODE,TITLE,FILENAME,I_DATE,PPT,SUMMARY,GUEST_SPEAKER
637,"SEASONAL TOPICS","TP47","Christmas 2007: Christmas Letter from Jesus","Christmas_Letter_from_Jesus","12/23/07 10:00:00",1,,0
643,"MISCELLANEOUS","DO33","The Problems with Preterism","The_Problems_with_Preterism","01/16/08 19:00:00",1,,0
658,"SEASONAL TOPICS","TP16","Christ in the Passover","Christ_in_the_Passover","03/16/08 10:00:00",1,"Practiced for thousands of years before Christ's birth, the Passover is rich in Messianic symbolism.",0
660,"SEASONAL TOPICS","TP30","Easter 2008: 7 Last Sayings of Christ from the Cross","Seven_Last_Sayings_of_Christ_from_the_Cross","03/23/08 10:00:00",1,"A study of the sayings of Christ on the Cross.",0
688,"ACTS","AC01","Acts 01","Acts_01","07/13/08 10:00:00",1,"An introduction to the ""Acts of the Holy Spirit""",0
690,"ACTS","AC02","Acts 2:1-21","Acts_02a","07/20/08 10:00:00",1,"An indepth teaching on the Baptism of the Holy Spirit",0
692,"ACTS","AC03","Acts 2:22-47","Acts_02b","07/27/08 10:00:00",1,"A study of the birth of the Church",0
693,"ACTS","AC04","Acts 03","Acts_03","08/03/08 10:00:00",1,"A study of the healing of the lame man at the Temple gate",0
694,"ACTS","AC05","Acts 4:1-31","Acts_04a","08/10/08 10:00:00",1,"A study of the importance of ""being"" filled with the Holy Spirit",0
695,"ACTS","AC06","Acts 04:32-05:16","Acts_04b-05a","08/17/08 10:00:00",1,"A study of how God purified the early Church",0
696,"ACTS","AC07","Acts 5:17-42","Acts_05b","08/24/08 10:00:00",1,"A study in rejoicing in suffering for Christ's name",0
697,"ACTS","AC08","Acts 06","Acts_06","08/31/08 10:00:00",1,"A look at service within the local church",0
698,"ACTS","AC09","Acts 07","Acts_07","09/07/08 10:00:00",1,"A study of the first Church martyr, Stephen",0
699,"ACTS","AC10","Acts 8:1-17","Acts_08a","09/14/08 10:00:00",1,"Further study into the Baptism of the Holy Spirit",0
700,"ACTS","AC11","Acts 8:18-40","Acts_08b","09/21/08 10:00:00",1,"The Ethiopian Eunuch",0
701,"ACTS","AC12","Acts 9:1-25","Acts_09a","09/28/08 10:00:00",1,"The conversion of Saul of Tarsus",0
702,"ACTS","AC13","Acts 09:26-10:15","Acts_09b-10a","10/05/08 10:00:00",1,"A preparation for the Gospel to the Gentiles",0
703,"ACTS","AC14","Acts 10:16-48","Acts_10b","10/12/08 10:00:00",1,"Come just as you are -- the salvation of Cornelius",0
704,"ACTS","AC15","Acts 11:1-12:11","Acts_11-12a","10/19/08 10:00:00",1,"A look at the arrest and miraculous release of Peter",0
705,"ACTS","AC16","Acts 12:12-13:42","Acts_12b-13a","10/26/08 10:00:00",1,"The beginning of the first missionary journey of Paul",0
706,"MISCELLANEOUS","TP48","Faith of Our Fathers","Faith_of_Our_Fathers","11/02/08 10:00:00",1,"An old fashioned ""Election Sermon""",0
707,"ACTS","AC17","Acts 13:43-14:28","Acts_13b-14","11/09/08 10:00:00",1,"A study of the conclusion of Paul's first missionary journey",0
709,"ACTS","AC18","Acts 15","Acts_15","11/23/08 10:00:00",1,"A study of the 1st Church Council",0
711,"ACTS","AC19","Acts 16","Acts_16","11/30/08 10:00:00",1,"Paul begins his 2nd missionary journey",0
713,"ACTS","AC20","Acts 17","Acts_17","12/07/08 10:00:00",1,"Paul preaches the Gospel in Berea and Athens (at Mar's Hill)",0
716,"ACTS","AC21","Acts 18","Acts_18","12/14/08 10:00:00",1,"Paul tells the Athenians of the ""Unknown God""",0
717,"ACTS","AC22","Acts 19","Acts_19","12/21/08 10:00:00",1,"A study of the ""unusual"" miracles performed by Paul while at Ephesus",0
718,"ACTS","AC23","Acts 20:1-16","Acts_20a","12/28/08 10:00:00",1,"Paul begins the return trip of his final missionary journey",0
719,"ACTS","AC24","Acts 20:17-38","Acts_20b","01/04/09 10:00:00",1,"A look at Paul's message to the Ephesian elders",0
720,"ACTS","AC25","Acts 21:1-26","Acts_21a","01/11/09 10:00:00",1,"A look at the prophets' warning to Paul about going to Jerusalem",0
722,"ACTS","AC26","Acts 21:22-22:30","Acts_21b-22","01/18/09 10:00:00",1,"Paul's arrest and subsequent testimony to the Jewish mob in Jerusalem",0
724,"ACTS","AC27","Acts 23","Acts_23","01/25/09 10:00:00",1,"Paul addresses the Council and discovers plot against him.",0
725,"ACTS","AC28","Acts 24","Acts_24","02/01/09 10:00:00",1,"Paul accused of sedition and Felix keeps him bound",0
727,"ACTS","AC29","Acts 25-26:14","Acts_25-26a","02/08/09 10:00:00",1,"Paul appeals to Caesar, and Paul before Agrippa",0
729,"ACTS","AC30","Acts 26:15-27:25","Acts_26b-27a","02/15/09 10:00:00",1,"Agrppa evades Paul's challenge, and the start of the voyage to Rome",0
731,"ACTS","AC31","Acts 27:26-28:31","Acts_27b-28","02/22/09 10:00:00",1,"Shipwrecked on Malta : and Paul's ministry in Rome",0
734,"ROUTE 66 SERIES","RT01","Route 66 Series: Genesis","RT01","03/01/09 10:00:00",1,"Beginning study that covers 66 books by 40 authors.",0
735,"ROUTE 66 SERIES","RT02","Route 66 Series:  Exodus","RT02","03/08/09 10:00:00",1,"Overview of Exodus",0
737,"ROUTE 66 SERIES","RT03","Route 66 Series:  Leviticus","RT03","04/05/09 10:00:00",1,"Overview of Leviticus",0
739,"ROUTE 66 SERIES","RT04","Route 66 Series:  Numbers","RT04","04/12/09 10:00:00",1,"Overview of Numbers",0
740,"ROUTE 66 SERIES","RT05","Route 66 Series:  Deuteronomy","RT05","04/19/09 10:00:00",1,"Overview of Deuteronomy",0
741,"ROUTE 66 SERIES","RT06","Route 66 Series:  Joshua","RT06","04/26/09 10:00:00",1,"Overview of Joshua",0
744,"ROUTE 66 SERIES","RT07","Route 66 Series:  Judges","RT07","05/10/09 10:00:00",1,"Overview of Judges",0
746,"ROUTE 66 SERIES","RT08","Route 66 Series:  Ruth","RT08","05/17/09 10:00:00",1,"Overview of Ruth",0
748,"ROUTE 66 SERIES","RT09","Route 66 Series:  1 Samuel","RT09","05/24/09 10:00:00",1,"Overview of 1 Samuel",0
750,"ROUTE 66 SERIES","RT10","Route 66 Series:  2 Samuel","RT10","06/07/09 10:00:00",1,"Overview of 2 Samuel",0
752,"ROUTE 66 SERIES","RT11","Route 66 Series:  1 Kings","RT11","06/14/09 10:00:00",1,"Overview of 1 Kings",0
754,"ROUTE 66 SERIES","RT12","Route 66 Series:  2 Kings","RT12","06/21/09 10:00:00",1,"Overview of 2 Kings",0
755,"ROUTE 66 SERIES","RT13","Route 66 Series:  1 Chronicles","RT13","06/28/09 10:00:00",1,"Overview of 1 Chronicles",0
756,"ROUTE 66 SERIES","RT14","Route 66 Series:  2 Chronicles","RT14","07/05/09 10:00:00",1,"Overview of 2 Chronicles",0
758,"ROUTE 66 SERIES","RT15","Route 66 Series:  Ezra","RT15","07/12/09 10:00:00",1,"Overview of Ezra",0
760,"ROUTE 66 SERIES","RT16","Route 66 Series:  Nehemiah","RT16","07/19/09 10:00:00",1,"Overview of Nehemiah",0
762,"ROUTE 66 SERIES","RT17","Route 66 Series:  Esther","RT17","07/26/09 10:00:00",1,"Overview of Esther",0
764,"ROUTE 66 SERIES","RT18","Route 66 Series:  Job","RT18","08/02/09 10:00:00",1,"Overview of Job",0
766,"ROUTE 66 SERIES","RT19","Route 66 Series:  Psalms, Part A","RT19","08/09/09 10:00:00",1,"Overview of Psalms, Part A",0
768,"ROUTE 66 SERIES","RT20","Route 66 Series:  Psalms, Part B","RT20","08/16/09 10:00:00",1,"Overview of Psalms, Part B",0
770,"ROUTE 66 SERIES","RT21","Route 66 Series:  Proverbs","RT21","08/23/09 10:00:00",1,"Overview of Proverbs",0
772,"ROUTE 66 SERIES","RT22","Route 66 Series:  Ecclesiastes","RT22","08/30/09 10:00:00",1,"Overview of Ecclesiastes",0
774,"ROUTE 66 SERIES","RT23","Route 66 Series:  Song of Solomon","RT23","09/06/09 10:00:00",1,"Overview of Song of Solomon",0
776,"ROUTE 66 SERIES","RT24","Route 66 Series:  Isaiah","RT24","09/13/09 10:00:00",1,"Overview of Isaiah",0
777,"DANIEL","DA01","Daniel 01","Daniel_01","09/23/09 19:00:00",1,"Daniel and his friends obey God",0
778,"ROUTE 66 SERIES","RT25","Route 66 Series:  Jeremiah","RT25","09/27/09 10:00:00",1,"Overview of Jeremiah",0
779,"DANIEL","DA02","Daniel 02","Daniel_02","09/30/09 19:00:00",1,"Daniel explains the king's dream",0
780,"ROUTE 66 SERIES","RT26","Route 66 Series:  Lamentations","RT26","10/04/09 10:00:00",1,"Overview of Lamentations",0
781,"DANIEL","DA03","Daniel 03","Daniel_03","10/07/09 19:00:00",1,"Daniel's friends saved in the fire",0
782,"ROUTE 66 SERIES","RT27","Route 66 Series:  Ezekiel","RT27","10/11/09 10:00:00",1,"Overview of Ezekiel",0
783,"DANIEL","DA04","Daniel 04","Daniel_04","10/14/09 19:00:00",1,"The King's second dream explained",0
784,"ROUTE 66 SERIES","RT28","Route 66 Series:  Daniel","RT28","10/18/09 10:00:00",1,"Overview of Daniel",0
785,"DANIEL","DA05","Daniel 05","Daniel_05","10/21/09 19:00:00",1,"The handwriting on the wall",0
786,"ROUTE 66 SERIES","RT29","Route 66 Series:  Minor Prophets, Part A","RT29","10/25/09 10:00:00",1,"Overview of Hosea, Joel, Amos",0
787,"DANIEL","DA06","Daniel 6","Daniel_06","10/28/09 19:00:00",1,"The plot against Daniel",0
788,"ROUTE 66 SERIES","RT30","Route 66 Series:  Minor Prophets, Part B","RT30","11/01/09 10:00:00",1,"Overview of Obadiah, Jonah, Micah, Nahum, Habbakuk, Zephaniah",0
789,"DANIEL","DA07","Daniel 07","Daniel_07","11/04/09 19:00:00",1,"Daniel's vision of the four beasts",0
790,"ROUTE 66 SERIES","RT31","Route 66 Series:  Minor Prophets, Part C","RT31","11/08/09 10:00:00",1,"Overview of Haggai, Zechariah, Malachi",0
791,"DANIEL","DA08","Daniel 8","Daniel_08","11/11/09 19:00:00",1,"Daniel's vision of the ram and goat",0
792,"ROUTE 66 SERIES","RT32","Route 66 Series:  Synoptic Gosepls","RT32","11/15/09 10:00:00",1,"Overview of Matthew, Mark, Luke",0
793,"DANIEL","DA09","Daniel 9:1-21","Daniel_09","11/18/09 19:00:00",1,,0
794,"ROUTE 66 SERIES","RT33","Route 66 Series:  John","RT33","11/29/09 10:00:00",1,"Overview of John",0
795,"DANIEL","DA10","Daniel 9:22-27","Daniel_10","11/25/09 19:00:00",1,,0
796,"ROUTE 66 SERIES","RT34","Route 66 Series:  Acts","RT34","12/06/09 10:00:00",1,"Overview of Acts",0
797,"ROUTE 66 SERIES","RT35","Route 66 Series:  Romans","RT35","12/13/09 10:00:00",1,"Overview of Romans",0
798,"DANIEL","DA11","Daniel 10:1-11:20","Daniel_11","12/02/09 19:00:00",1,,0
799,"DANIEL","DA12","Daniel 11:21-12:13","Daniel_12","12/16/09 19:00:00",1,,0
800,"ROUTE 66 SERIES","RT36","Route 66 Series:  1 Corinthians","RT36","12/20/09 10:00:00",1,"Overview of 1 Corinthians",0
801,"EXODUS","EX01","Exodus 1:1-02:22","Exodus_01","12/30/09 19:00:00",1,"Suffering Egypt; the birth of Moses",0
802,"ROUTE 66 SERIES","RT37","Route 66 Series:  2 Corinthians","RT37","01/03/10 10:00:00",1,"Overview of 2 Corinthians",0
803,"EXODUS","EX02","Exodus 2:23-4:17","Exodus_02","01/06/10 19:00:00",1,"Burning bush; Moses argues with God",0
804,"ROUTE 66 SERIES","RT38","Route 66 Series:  Galatians","RT38","01/10/10 10:00:00",1,"Overview of Galatians",0
805,"EXODUS","EX03","Exodus 4:18-7:7","Exodus_03","01/13/10 19:00:00",1,"Moses returns to Egypt; Moses and Aaron before Pharoah",0
806,"ROUTE 66 SERIES","RT39","Route 66 Series:  Ephesians","RT39","01/17/10 10:00:00",1,"Overview of Ephesians",0
807,"EXODUS","EX04","Exodus 7:8-9:7","Exodus_04","01/20/10 19:00:00",1,"Pharoah's heart hardens; the plagues of frogs, lice, flies and cattle",0
808,"ROUTE 66 SERIES","RT40","Route 66 Series:  Philippians","RT40","01/24/10 10:00:00",1,"Overview of Philippians",0
809,"EXODUS","EX05","Exodus 9:8-11:10","Exodus_05","02/03/10 19:00:00",1,"Plagues of boils, hail, locusts and darkness",0
811,"ROUTE 66 SERIES","RT41","Route 66 Series:  Colossians","RT41","02/07/10 10:00:00",1,"Overview of Colossians",0
812,"EXODUS","EX06","Exodus 12-13","Exodus_06","02/10/10 19:00:00",1,"God establishes the Passover; how Israel remembered the Exodus",0
813,"ROUTE 66 SERIES","RT42","Route 66 Series:  1 Thessalonians","RT42","02/15/10 10:00:00",1,"Overview of 1 Thessalonians",0
814,"ROUTE 66 SERIES","RT43","Route 66 Series:  2 Thessalonians","RT43","02/21/10 10:00:00",1,"Overview of 2 Thessalonians",0
815,"ROUTE 66 SERIES","RT44","Route 66 Series:  1 Timothy","RT44","02/28/10 10:00:00",1,"Overview of 1 Timothy",0
816,"EXODUS","EX07","Exodus 14-15","Exodus_07","03/03/10 19:00:00",1,"Crossing the Red Sea and the Song of Moses",0
817,"ROUTE 66 SERIES","RT45","Route 66 Series:  2 Timothy","RT45","03/07/10 10:00:00",1,,0
818,"ROUTE 66 SERIES","RT46","Route 66 Series:  Titus","RT46","03/14/10 10:00:00",1,"Overview of Titus",0
819,"EXODUS","EX08","Exodus 16-17","Exodus_08","03/24/10 19:00:00",1,"God Sends Quails, Manna, Water",0
820,"ROUTE 66 SERIES","RT47","Route 66 Series:  Hebrews","RT47","03/28/10 10:00:00",1,,0
821,"EXODUS","EX09","Exodus 18-19","Exodus_09","03/31/10 19:00:00",1,,0
822,"ROUTE 66 SERIES","RT48","Route 66 Series:  James","RT48","04/04/10 10:00:00",1,,0
823,"EXODUS","EX10","Exodus 20-21","Exodus_10","04/07/10 19:00:00",1,,0
824,"ROUTE 66 SERIES","RT49","Route 66 Series:  1 Peter","RT49","04/11/10 10:00:00",1,,0
825,"EXODUS","EX11","Exodus 22-23","Exodus_11","04/14/10 19:00:00",1,,0
826,"ROUTE 66 SERIES","RT50","Route 66 Series:  2 Peter","RT50","04/18/10 10:00:00",1,,0
827,"EXODUS","EX12","Exodus 24-26","Exodus_12","04/21/10 19:00:00",1,,0
828,"ROUTE 66 SERIES","RT51","Route 66 Series:  Philemon/Jude","RT51","04/25/10 10:00:00",1,,0
829,"EXODUS","EX13","Exodus 27-28","Exodus_13","04/28/10 19:00:00",1,,0
830,"ROUTE 66 SERIES","RT52","Route 66 Series:  1 John","RT52","05/02/10 10:00:00",1,,0
831,"EXODUS","EX14","Exodus 29-31","Exodus_14","05/06/10 19:00:00",1,,0
832,"ROUTE 66 SERIES","RT53","Route 66 Series:  2 &amp; 3 John","RT53","05/09/10 10:00:00",1,,0
833,"EXODUS","EX15","Exodus 32-33","Exodus_15","05/12/10 19:00:00",1,,0
834,"ROUTE 66 SERIES","RT54","Route 66 Series:  Revelation","RT54","05/16/10 10:00:00",1,,0
835,"EXODUS","EX16","Exodus 34-40","Exodus_16","05/19/10 19:00:00",1,,0
836,"JOHN","JN02","John 01:15-42","John_01b","06/06/10 10:00:00",1,,0
837,"JOHN","JN03","John 01:43-02:11","John_01c-02a","06/20/10 10:00:00",1,,0
838,"JEREMIAH","JE02","Jeremiah 3-4","Jeremiah_03-04","06/23/10 19:00:00",1,,0
839,"JOHN","JN04","John 02:11-25","John_02b","06/27/10 10:00:00",1,,0
840,"JEREMIAH","JE03","Jeremiah 5-6","Jeremiah_05-06","06/30/10 19:00:00",1,,0
841,"JOHN","JN05","John 03:1-21","John_03a","07/04/10 10:00:00",1,,0
842,"JEREMIAH","JE04","Jeremiah 07-09","Jeremiah_07-09","07/14/10 19:00:00",1,,0
843,"JOHN","JN06","John 03:22-36","John_03b","07/18/10 10:00:00",1,,0
844,"JOHN","JN07","John 04:1-24","John_04a","07/25/10 10:00:00",1,,0
845,"JEREMIAH","JE05","Jeremiah 10-12","Jeremiah_10-12","07/22/10 19:00:00",1,,0
846,"JEREMIAH","JE06","Jeremiah 13-15","Jeremiah_13-15","07/28/10 19:00:00",1,,0
847,"JEREMIAH","JE07","Jeremiah 16-18","Jeremiah_16-18","08/04/10 19:00:00",1,,0
848,"JOHN","JN08","John 04:25-54","John_04b","08/01/10 10:00:00",1,,0
849,"JOHN","JN09","John 05:1-23","John_05a","08/08/10 10:00:00",1,,0
850,"JEREMIAH","JE08","Jeremiah 19-21","Jeremiah_19-21","08/11/10 19:00:00",1,,0
851,"JEREMIAH","JE09","Jeremiah 22-24","Jeremiah_22-24","08/18/10 19:00:00",1,,0
852,"JOHN","JN10","John 05:24-47","John_05b","08/22/10 10:00:00",1,,0
853,"JEREMIAH","JE10","Jeremiah 25-27","Jeremiah_25-27","08/25/10 19:00:00",1,,0
854,"JOHN","JN11","John 06:1-21","John_06a","08/29/10 10:00:00",1,,0
855,"JEREMIAH","JE11","Jeremiah 28-30","Jeremiah_28-30","09/01/10 19:00:00",1,,0
856,"JOHN","JN12","John 06:22-56","John_06b","09/05/10 10:00:00",1,,0
857,"JEREMIAH","JE12","Jeremiah 31-33","Jeremiah_31-33","09/08/10 19:00:00",1,,0
858,"JOHN","JN13","John 06:57-71","John_06c","09/12/10 10:00:00",1,,0
859,"JEREMIAH","JE13","Jeremiah 34-36","Jeremiah_34-36","09/15/10 19:00:00",1,,0
860,"JOHN","JN14","John 7:1-39","John_07a","09/19/10 10:00:00",1,,0
861,"JEREMIAH","JE14","Jeremiah 37-39","Jeremiah_37-39","09/22/10 19:00:00",1,,0
862,"JOHN","JN15","John 7:37-53","John_07b","09/26/10 10:00:00",1,,0
863,"JEREMIAH","JE15","Jeremiah 40-43","Jeremiah_40-43","09/29/10 19:00:00",1,,0
864,"JOHN","JN16","John 8:1-20","John_08a","10/03/10 10:00:00",1,,0
865,"JEREMIAH","JE16","Jeremiah 44-46","Jeremiah_44-46","10/06/10 19:00:00",1,,0
866,"JOHN","JN17","John 8:21-59","John_08b","10/10/10 10:00:00",1,,0
867,"JEREMIAH","JE17","Jeremiah 47-49","Jeremiah_47-49","10/13/10 19:00:00",1,,0
868,"JOHN","JN18","John 09:1-25","John_09a","10/17/10 10:00:00",1,,0
869,"JEREMIAH","JE18","Jeremiah 50-52","Jeremiah_50-52","10/20/10 19:00:00",1,,0
870,"JOHN","JN19","John 9:26-41","John_09b","10/31/10 10:00:00",1,,0
871,"JOHN","JN20","John 10:1-18","John_10a","11/07/10 10:00:00",1,,0
872,"RUTH","RU01","Ruth 01","Ruth_1","11/03/10 19:00:00",1,,0
873,"KARA CHIKELES","OT03","Kara Chikeles-Testimony","Kara_Chikeles","01/14/09 19:00:00",0,"Guest speaker Kara Chikeles on true forgiveness.",1
874,"AMIR TSARFATI","OT01","Amir Tsarfati-Prophecy Update","Prophecy_Update_From_The_Middle_East","08/08/07 19:00:00",0,"Guest speaker Amir Tsarfati provides a first-hand update from the Middle East.",1
875,"RUTH","RU02","Ruth 02","Ruth_2","11/10/10 19:00:00",1,,0
876,"JOHN","JN21","John 10:19-42","John_10b","11/14/10 10:00:00",1,,0
877,"JOHN","JN22","John 11:1-45","John_11a","11/21/10 10:00:00",1,,0
878,"RUTH","RU03","Ruth 3-4","Ruth_3-4","11/24/10 19:00:00",1,,0
879,"JOHN","JN23","John 11:46-12:8","John_11b-12a","11/28/10 10:00:00",1,,0
880,"LAMENTATIONS","LA01","Lamentations 01:1-03:33","Lamentations_01-03a","12/01/10 19:00:00",1,,0
881,"JOHN","JN24","John 12:9-26","John_12b","12/05/10 10:00:00",1,,0
882,"JOHN","JN25","John 12:27-50","John_12c","12/12/10 10:00:00",1,,0
883,"LAMENTATIONS","LA02","Lamentations 03:34-05:22","Lamentations_03b-05","12/15/10 19:00:00",1,,0
884,"JOHN","JN26","John 13:1-17","John_13a","12/19/10 10:00:00",1,,0
885,"1 CHRONICLES","1CH01","1 Chronicles 01-13","1_Chronicles_01-13","12/22/10 19:00:00",1,,0
886,"JOHN","JN27","John 13:18-38","John_13b","12/26/10 10:00:00",1,,0
887,"1 CHRONICLES","1CH02","1 Chronicles 14-17","1_Chronicles_14-17","12/29/10 19:00:00",1,,0
888,"JOHN","JN28","John 14:1-14","John_14a","01/02/11 10:00:00",1,,0
889,"1 CHRONICLES","1CH03","1 Chronicles 18-21","1_Chronicles_18-21","01/05/11 19:00:00",1,,0
890,"JOHN","JN29","John 14:15-31","John_14b","01/09/11 10:00:00",1,,0
891,"1 CHRONICLES","1CH04","1 Chronicles 22-25","1_Chronicles_22-25","01/12/11 19:00:00",1,,0
892,"JOHN","JN30","John 15:1-17","John_15a","01/16/11 10:00:00",1,,0
893,"1 CHRONICLES","1CH05","1 Chronicles 26-29","1_Chronicles_26-29","01/19/11 19:00:00",1,,0
894,"JOHN","JN31","John 15:18-16:4","John_15b-16a","01/23/11 10:00:00",1,,0
895,"2 CHRONICLES","2CH01","2 Chronicles 1-4","2_Chronicles_01-04","01/26/11 19:00:00",1,,0
896,"JOHN","JN32","John 16:5-33","John_16b","01/30/11 10:00:00",1,,0
897,"JOHN","JN33","John 17:1-13","John_17a","02/06/11 10:00:00",1,,0
898,"JOHN","JN34","John 17:14-26","John_17b","02/13/11 10:00:00",1,,0
899,"2 CHRONICLES","2CH02","2 Chronicles 5-7","2_Chronicles_05-07","02/16/11 19:00:00",1,,0
900,"JOHN","JN35","John 18:1-14","John_18a","02/20/11 10:00:00",1,,0
901,"2 CHRONICLES","2CH03","2 Chronicles 8-11","2_Chronicles_08-11","02/23/11 19:00:00",1,,0
902,"JOHN","JN36","John 18:15-40","John_18b","02/27/11 10:00:00",1,,0
903,"2 CHRONICLES","2CH04","2 Chronicles 12-15","2_Chronicles_12-15","03/02/11 19:00:00",1,,0
904,"2 CHRONICLES","2CH05","2 Chronicles 16-19","2_Chronicles_16-19","03/09/11 19:00:00",1,,0
905,"JOHN","JN37","John 19:1-18","John_19a","03/13/11 10:00:00",1,,0
906,"JOHN","JN38","John 19:19-42","John_19b","04/03/11 10:00:00",1,,0
907,"JOHN","JN39","John 20","John_20","04/10/11 10:00:00",1,,0
908,"JOHN","JN40","John 21","John_21","04/17/11 10:00:00",1,,0
909,"2 CHRONICLES","2CH06","2 Chronicles 20-23","2_Chronicles_20-23","04/13/11 19:00:00",1,,0
910,"2 CHRONICLES","2CH07","2 Chronicles 24-26","2_Chronicles_24-26","04/20/11 19:00:00",1,,0
911,"SEASONAL TOPICS","TP50","Easter 2011:  God's Plan for Redemption","2011_Easter_-_Gods_Plan_for_Redemption","04/24/11 10:00:00",1,"2011 Easter Message by Pastor Ken explaining God's prophetic plan to reconcile man to Him and the hope we have because Jesus conquered the grave as well as the responsibility we have to live holy lives unto the Lord.",0
912,"2 CHRONICLES","2CH08","2 Chronicles 27-29","2_Chronicles_27-29","04/27/11 19:00:00",1,,0
913,"EPHESIANS","EP01","Ephesians 1:1-10","Ephesians_01a","05/01/11 10:00:00",1,,0
914,"KENDALL RICHARDSON","OT13","Kendall Richardson-1 John","1_John","03/23/11 19:00:00",0,"Kendall brings marvelous insight to 1 John!",1
915,"2 CHRONICLES","2CH09","2 Chronicles 30-32","2_Chronicles_30-32","05/04/11 19:00:00",1,"Good king Hezekiah leads the people back into worship of the LORD and destroying of idol worship.  Hezekiah seeks the LORD in his trouble and God delivers the defense of His kingdom.  Then, Hezekiah asks for a little more time.",0
